fpr,tpr
0.0,0.0
0.0,0.004405286343612335
0.0017452006980802793,0.004405286343612335
0.0017452006980802793,0.00881057268722467
0.0034904013961605585,0.00881057268722467
0.0034904013961605585,0.022026431718061675
0.005235602094240838,0.022026431718061675
0.005235602094240838,0.0881057268722467
0.006980802792321117,0.0881057268722467
0.006980802792321117,0.11894273127753303
0.008726003490401396,0.11894273127753303
0.008726003490401396,0.13215859030837004
0.010471204188481676,0.13215859030837004
0.010471204188481676,0.13656387665198239
0.015706806282722512,0.13656387665198239
0.015706806282722512,0.15859030837004406
0.019197207678883072,0.15859030837004406
0.019197207678883072,0.16299559471365638
0.020942408376963352,0.16299559471365638
0.020942408376963352,0.16740088105726872
0.02268760907504363,0.16740088105726872
0.02268760907504363,0.17180616740088106
0.02443280977312391,0.17180616740088106
0.02443280977312391,0.1894273127753304
0.027923211169284468,0.1894273127753304
0.027923211169284468,0.19823788546255505
0.029668411867364748,0.19823788546255505
0.029668411867364748,0.21585903083700442
0.031413612565445025,0.21585903083700442
0.031413612565445025,0.22026431718061673
0.03315881326352531,0.22026431718061673
0.03315881326352531,0.22466960352422907
0.034904013961605584,0.22466960352422907
0.034904013961605584,0.23348017621145375
0.03664921465968586,0.23348017621145375
0.03664921465968586,0.23788546255506607
0.038394415357766144,0.23788546255506607
0.038394415357766144,0.24669603524229075
0.04013961605584642,0.24669603524229075
0.04013961605584642,0.2511013215859031
0.041884816753926704,0.2511013215859031
0.041884816753926704,0.2555066079295154
0.04363001745200698,0.2555066079295154
0.04363001745200698,0.2599118942731278
0.04537521815008726,0.2599118942731278
0.04537521815008726,0.2775330396475771
0.05235602094240838,0.2775330396475771
0.05235602094240838,0.28634361233480177
0.05410122164048865,0.28634361233480177
0.05410122164048865,0.29515418502202645
0.06108202443280977,0.29515418502202645
0.06108202443280977,0.29955947136563876
0.06457242582897033,0.29955947136563876
0.06457242582897033,0.3039647577092511
0.06631762652705062,0.3039647577092511
0.06631762652705062,0.32158590308370044
0.06806282722513089,0.32158590308370044
0.06806282722513089,0.33480176211453744
0.07329842931937172,0.33480176211453744
0.07329842931937172,0.3392070484581498
0.08376963350785341,0.3392070484581498
0.08376963350785341,0.3436123348017621
0.08726003490401396,0.3436123348017621
0.08726003490401396,0.34801762114537443
0.09075043630017451,0.34801762114537443
0.09075043630017451,0.36123348017621143
0.09598603839441536,0.36123348017621143
0.09598603839441536,0.3656387665198238
0.09773123909249563,0.3656387665198238
0.09773123909249563,0.3700440528634361
0.09947643979057591,0.3700440528634361
0.09947643979057591,0.3744493392070485
0.1082024432809773,0.3744493392070485
0.1082024432809773,0.3832599118942731
0.11343804537521815,0.3832599118942731
0.11343804537521815,0.3920704845814978
0.11518324607329843,0.3920704845814978
0.11518324607329843,0.3964757709251101
0.1169284467713787,0.3964757709251101
0.1169284467713787,0.4008810572687225
0.12216404886561955,0.4008810572687225
0.12216404886561955,0.4052863436123348
0.1273996509598604,0.4052863436123348
0.1273996509598604,0.41409691629955947
0.12914485165794065,0.41409691629955947
0.12914485165794065,0.4185022026431718
0.13263525305410123,0.4185022026431718
0.13263525305410123,0.42731277533039647
0.13612565445026178,0.42731277533039647
0.13612565445026178,0.43171806167400884
0.14136125654450263,0.43171806167400884
0.14136125654450263,0.43612334801762115
0.1431064572425829,0.43612334801762115
0.1431064572425829,0.44052863436123346
0.1518324607329843,0.44052863436123346
0.1518324607329843,0.44493392070484583
0.15706806282722513,0.44493392070484583
0.15706806282722513,0.46255506607929514
0.16055846422338568,0.46255506607929514
0.16055846422338568,0.4669603524229075
0.16928446771378708,0.4669603524229075
0.16928446771378708,0.4801762114537445
0.17102966841186737,0.4801762114537445
0.17102966841186737,0.4845814977973568
0.1762652705061082,0.4845814977973568
0.1762652705061082,0.4977973568281938
0.17975567190226877,0.4977973568281938
0.17975567190226877,0.5022026431718062
0.18150087260034903,0.5022026431718062
0.18150087260034903,0.5066079295154186
0.18673647469458987,0.5066079295154186
0.18673647469458987,0.5110132158590308
0.18848167539267016,0.5110132158590308
0.18848167539267016,0.5154185022026432
0.19022687609075042,0.5154185022026432
0.19022687609075042,0.5198237885462555
0.193717277486911,0.5198237885462555
0.193717277486911,0.5242290748898678
0.20767888307155322,0.5242290748898678
0.20767888307155322,0.5286343612334802
0.2094240837696335,0.5286343612334802
0.2094240837696335,0.5330396475770925
0.2164048865619546,0.5330396475770925
0.2164048865619546,0.5550660792951542
0.2198952879581152,0.5550660792951542
0.2198952879581152,0.5638766519823789
0.22338568935427575,0.5638766519823789
0.22338568935427575,0.5726872246696035
0.23909249563699825,0.5726872246696035
0.23909249563699825,0.5770925110132159
0.2443280977312391,0.5770925110132159
0.2443280977312391,0.5814977973568282
0.24607329842931938,0.5814977973568282
0.24607329842931938,0.5859030837004405
0.24781849912739964,0.5859030837004405
0.24781849912739964,0.5991189427312775
0.2513089005235602,0.5991189427312775
0.2513089005235602,0.6035242290748899
0.2600349040139616,0.6035242290748899
0.2600349040139616,0.6079295154185022
0.26527050610820246,0.6079295154185022
0.26527050610820246,0.6123348017621145
0.27225130890052357,0.6123348017621145
0.27225130890052357,0.6167400881057269
0.27399650959860383,0.6167400881057269
0.27399650959860383,0.6211453744493393
0.2774869109947644,0.6211453744493393
0.2774869109947644,0.6255506607929515
0.2792321116928447,0.6255506607929515
0.2792321116928447,0.6299559471365639
0.2879581151832461,0.6299559471365639
0.2879581151832461,0.6343612334801763
0.29842931937172773,0.6343612334801763
0.29842931937172773,0.6387665198237885
0.3054101221640489,0.6387665198237885
0.3054101221640489,0.6431718061674009
0.3106457242582897,0.6431718061674009
0.3106457242582897,0.6475770925110133
0.31239092495637,0.6475770925110133
0.31239092495637,0.6519823788546255
0.31762652705061084,0.6519823788546255
0.31762652705061084,0.6651982378854625
0.3228621291448517,0.6651982378854625
0.3228621291448517,0.6696035242290749
0.32809773123909247,0.6696035242290749
0.32809773123909247,0.6740088105726872
0.35602094240837695,0.6740088105726872
0.35602094240837695,0.6828193832599119
0.35951134380453753,0.6828193832599119
0.35951134380453753,0.6916299559471366
0.36649214659685864,0.6916299559471366
0.36649214659685864,0.6960352422907489
0.3787085514834206,0.6960352422907489
0.3787085514834206,0.7092511013215859
0.3856893542757417,0.7092511013215859
0.3856893542757417,0.7136563876651982
0.39092495636998253,0.7136563876651982
0.39092495636998253,0.7180616740088106
0.39965095986038396,0.7180616740088106
0.39965095986038396,0.7224669603524229
0.40663176265270506,0.7224669603524229
0.40663176265270506,0.7312775330396476
0.41361256544502617,0.7312775330396476
0.41361256544502617,0.73568281938326
0.41710296684118675,0.73568281938326
0.41710296684118675,0.7400881057268722
0.42757417102966844,0.7400881057268722
0.42757417102966844,0.7444933920704846
0.43455497382198954,0.7444933920704846
0.43455497382198954,0.7533039647577092
0.44502617801047123,0.7533039647577092
0.44502617801047123,0.7577092511013216
0.4781849912739965,0.7577092511013216
0.4781849912739965,0.762114537444934
0.48342059336823734,0.762114537444934
0.48342059336823734,0.7665198237885462
0.49912739965095987,0.7665198237885462
0.49912739965095987,0.7709251101321586
0.5026178010471204,0.7709251101321586
0.5026178010471204,0.775330396475771
0.525305410122164,0.775330396475771
0.525305410122164,0.7797356828193832
0.5427574171029669,0.7797356828193832
0.5427574171029669,0.7841409691629956
0.5514834205933682,0.7841409691629956
0.5514834205933682,0.7929515418502202
0.5741710296684118,0.7929515418502202
0.5741710296684118,0.7973568281938326
0.5828970331588132,0.7973568281938326
0.5828970331588132,0.801762114537445
0.5933682373472949,0.801762114537445
0.5933682373472949,0.8061674008810573
0.6003490401396161,0.8061674008810573
0.6003490401396161,0.8105726872246696
0.6073298429319371,0.8105726872246696
0.6073298429319371,0.8149779735682819
0.6108202443280978,0.8149779735682819
0.6108202443280978,0.8193832599118943
0.6160558464223386,0.8193832599118943
0.6160558464223386,0.8325991189427313
0.6178010471204188,0.8325991189427313
0.6178010471204188,0.8414096916299559
0.6195462478184991,0.8414096916299559
0.6195462478184991,0.8458149779735683
0.6212914485165794,0.8458149779735683
0.6212914485165794,0.8502202643171806
0.6352530541012217,0.8502202643171806
0.6352530541012217,0.8546255506607929
0.643979057591623,0.8546255506607929
0.643979057591623,0.8634361233480177
0.6684118673647469,0.8634361233480177
0.6684118673647469,0.8722466960352423
0.6771378708551483,0.8722466960352423
0.6771378708551483,0.8766519823788547
