Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
PEDDAGEDDA RESERVOIR,8/3/26,1.07,688.15,0.55,0.53,8/3/26,0,10,Other,Parvathipuram Manyam,-
SWARNAMUKHI BARRAGE CUM BRIDGE,8/4/26,0.04,19.69,0,0.04,8/4/26,0,0,Other,Tirupati,-
ANDRA RESERVOIR,8/3/26,0.98,466.99,0.5,0.48,8/3/26,55,55,Other,Vizianagaram,-
VATTIGEDDA RESERVOIR,8/3/26,0.96,376,0.24,0.72,8/3/26,40,0,Other,Parvathipuram Manyam,-
KALYANI DAM,8/4/26,0.91,869.4,0.3,0.61,8/4/26,0,10,Other,Tirupati,-
YOGI VEMANA (MADDILERU) RESERVOIR,8/4/26,0.9,1232.55,0.19,0.72,8/4/26,0,10,Pennar,Sri Sathya Sai,-
KONAM RESERVOIR,8/4/26,0.85,303.07,0.17,0.68,8/4/26,25,0,Other,Anakapalli,-
GOTTA BARRAGE,8/4/26,0.66,125,0.66,0,8/4/26,2994,2994,Other,Srikakulam,-
PEDDERU RESERVOIR PROJECT,8/4/26,0.56,1570.85,0.43,0.13,8/4/26,0,1,Pennar,Annamayya,-
PAMPA RESERVOIR,8/4/26,0.42,90,0.09,0.34,8/4/26,0,0,Other,Kakinada,-
VARAHA RESERVOIR,8/3/26,0.47,450,0.18,0.29,8/3/26,10,10,Other,Anakapalli,-
BAHUDA RESERVOIR,8/4/26,0.4,1999.3,0.15,0.25,8/4/26,0,0,Pennar,Annamayya,-
PEDDERU RESERVOIR,8/4/26,0.36,437,0.21,0.15,8/4/26,0,30,Other,Anakapalli,-
NTR RESERVOIR,8/3/26,0.2,338.6,0.05,0.15,8/3/26,0,0,Other,Anakapalli,-
KRISHNAPURAM PROJECT,8/4/26,0.2,672.24,0,0.2,8/4/26,0,0,Other,Chittoor,-
MALLIMADUGU,8/4/26,0.18,345,0.01,0.18,8/4/26,0,0,Other,Tirupati,-
CHENNARAYA SWAMI GUDI PROJECT,8/4/26,0.17,1919,0.09,0.08,8/4/26,0,5,Pennar,Sri Sathya Sai,-
KALINGADAL PROJECT,8/3/26,0.15,225.55,0.02,0.13,8/3/26,0,0,Other,Srikakulam,-
NTR Jalasayam,8/4/26,0.11,959.4,0.05,0.06,8/4/26,0,0,Other,Chittoor,-
DAMODARAM SAGARAM,8/3/26,0.06,160,0.02,0.04,8/3/26,110,100,Other,Srikakulam,-
GAJJILIGEDDA RESERVOIR,8/4/26,0.05,335,0,0.05,8/4/26,0,0,Other,Srikakulam,-
NARAYANAPURAM ANICUT,8/3/26,0,90.19,0,0,8/3/26,1150,1100,Other,Srikakulam,-
KRISHNAGIRI RESERVOIR,8/3/26,0.16,1197.89,0.01,0.15,8/3/26,0,0,Krishna,Kurnool,-
VEERA RAGHAVANI KOTA ANICUT,8/4/26,0.6,63,0,0.6,8/4/26,0,0,Other,Prakasam,-
ADINIMMAYAPALLI ANICUT,8/4/26,0,412.54,0,0,8/4/26,0,0,Pennar,Y.S.R Kadapa,-
PALERU BITRAGUNTA ANICUT,8/4/26,0.37,35.34,0,0.37,8/4/26,0,0,Other,Srikakulam,-
PENNAR KUMUDWATHI PROJECT (ANICUT),8/3/26,0,610.07,0,0,8/3/26,0,0,Pennar,Sri Sathya Sai,-
Somasila Reservoir,8/3/26,78,298.2,27.67,50.34,8/3/26,0,3981,Pennar,Sri Potti Sriramulu Nellore,-
KANDALERU RESERVOIR,8/3/26,68.03,241.14,25.11,42.92,8/3/26,0,2385,Pennar,Sri Potti Sriramulu Nellore,-
GANDIKOTA RESERVOIR,8/3/26,26.85,685.4,15.94,10.91,8/3/26,0,860,Pennar,Y.S.R Kadapa,-
VELOGODU BALANCING RESERVOIR,8/3/26,16.95,822.89,1.66,15.29,8/3/26,0,80,Pennar,Nandyal,-
PENNA AHOBILAM BALANCING RESERVOIR,8/3/26,5.5,1401.06,1.91,3.59,8/3/26,0,130,Pennar,Ananthapuramu,-
CHITRAVATI BALANCING RESERVOIR,8/3/26,10.23,953.98,3.39,6.83,8/3/26,0,130,Pennar,Y.S.R Kadapa,-
MYLAVARAM(PENNAR) RESERVOIR,8/4/26,6.5,637.53,2.46,4.04,8/4/26,0,619,Pennar,Y.S.R Kadapa,-
PAIDIPALEM BALANCING RESERVOIR,8/3/26,6,883.2,3.15,2.86,8/3/26,440,265,Pennar,Y.S.R Kadapa,-
MID PENNAR RESERVOIR,8/3/26,5.17,1136,0.23,4.94,8/3/26,0,5,Pennar,Ananthapuramu,-
VELIGALLU RESERVOIR,8/3/26,4.64,1366.44,3.31,1.33,8/3/26,0,20,Pennar,Annamayya,-
KANIGIRI RESERVOIR,8/4/26,3.45,95.52,2.17,1.28,8/4/26,1190,1042,Pennar,Sri Potti Sriramulu Nellore,-
SARVARAJA SAGAR,8/3/26,1.06,626.95,0.42,0.64,8/3/26,0,50,Pennar,Y.S.R Kadapa,-
ALAGANURU BALANCING RESERVOIR,8/3/26,2.97,815.28,0,2.97,8/3/26,0,0,Pennar,Nandyal,-
ANNAMAYYA (CHEYYERU) RESERVOIR,7/29/26,2.24,0,0,2.24,7/29/26,0,0,Pennar,Y.S.R Kadapa,-
UPPER PENNAR,8/3/26,1.81,1722.5,0.05,1.76,8/3/26,0,0,Pennar,Sri Sathya Sai,-
CHAGALLU BALANCING RESERVOIR,8/3/26,0.95,861.28,0.47,0.48,8/3/26,0,15,Pennar,Ananthapuramu,-
Cherlopalli Reservoir,8/4/26,1.61,1940.26,0.45,1.15,8/4/26,0,5,Pennar,Sri Sathya Sai,-
VAMIKONDA SAGAR RESERVOIR,8/3/26,1.66,642.16,0.66,1,8/3/26,0,25,Pennar,Y.S.R Kadapa,-
PATHIKONDA RESERVOIR,8/3/26,1.13,447.5,0.59,0.53,8/3/26,0,15,Krishna,Kurnool,-
SRINIVASAPURAM RESERVOIR (HNSS),8/3/26,1.02,1361.55,0.03,0.99,8/3/26,0,0,Pennar,Annamayya,-
NELLORE TANK,8/4/26,0.84,66,0.55,0.29,8/4/26,80,20,Pennar,Sri Potti Sriramulu Nellore,-
BUGGAVANKA RESERVOIR,8/4/26,0.51,580.4,0.1,0.41,8/4/26,3,3,Pennar,Y.S.R Kadapa,-
Marala Reservoir,8/3/26,0.48,1436.33,0.16,0.32,8/3/26,0,20,Pennar,Sri Sathya Sai,-
