Drought Information Of Andhra Pradesh

Sr No,District,District Area (Sq Km),DPAP Area (Sq Km),Status
"1","Chittoor","15151","7761","Drought Prone Area Programme (DPAP)",
"2","Cuddapah","15359","8225","Drought Prone Area Programme (DPAP)",
"3","Kurnool","17658","17366","Drought Prone Area Programme (DPAP)",
"4","Prakasam","17626","15165","Drought Prone Area Programme (DPAP)",
"5","Srikakulam","5837","1466","Drought Prone Area Programme (DPAP)",
